algorithm,number of nodes,weight,run time
CR,12,222.10411656613562,0.0006416999967768788
CNN,12,222.10411656613562,0.0010170999448746443
CR,12,256.72101456158265,0.0008949000621214509
CNN,12,322.6708013441938,0.0011796000180765986
CR,12,295.2279063319824,0.0011476000072434545
CNN,12,308.62504367816666,0.0014281999319791794
CR,12,296.88630444570805,0.0009142999770119786
CNN,12,283.7822631168708,0.0012372999917715788
CR,12,295.2279063319824,0.0009887999622151256
CNN,12,308.62504367816666,0.0015057999407872558
CR,12,256.72101456158265,0.0009203000226989388
CNN,12,322.6708013441938,0.001182700041681528
CR,12,259.7586308048853,0.0004545000847429037
CNN,12,369.3601201508961,0.0007226000307127833
CR,12,243.6114532561007,0.0005278000608086586
CNN,12,259.7586308048853,0.0007570000598207116
CR,12,252.4831761884523,0.0005561000434681773
CNN,12,240.34692858017152,0.0009245999390259385
CR,12,187.47551003066766,0.00045849999878555536
CNN,12,252.9765629455401,0.0008951000636443496
CR,12,259.7586308048853,0.0004496000474318862
CNN,12,369.3601201508961,0.0007939001079648733
CR,12,264.0109283409835,0.0005917999660596251
CNN,12,288.6093320104618,0.0008576000109314919
CR,12,289.31733853381417,0.0006585000082850456
CNN,12,289.31733853381417,0.0008501000702381134
CR,12,249.2044760977863,0.0005713000427931547
CNN,12,252.68836109420354,0.0008307000389322639
CR,12,232.01037974336163,0.0006093999836593866
CNN,12,273.0621050143123,0.0009148999815806746
CR,12,212.40119850056726,0.0005802999949082732
CNN,12,244.43035996317303,0.0008367000846192241
CR,12,148.48724609946478,0.0006594000151380897
CNN,12,158.32700699340444,0.0009958000155165792
CR,12,163.4069484758162,0.0006868999917060137
CNN,12,171.73801341366132,0.0010076999897137284
CR,12,148.48724609946478,0.0006657999474555254
CNN,12,158.32700699340444,0.0010038999607786536
CR,12,155.80112219744578,0.0006595999002456665
CNN,12,181.7742185693421,0.0010009999386966228
CR,12,174.28346528181655,0.0006614000303670764
CNN,12,175.57567287912718,0.0010149000445380807
CR,12,192.2000023396685,0.00045190006494522095
CNN,12,193.72993725247883,0.0007878000615164638
CR,12,215.4630463017933,0.00045950000640004873
CNN,12,228.0094670504578,0.0008682999759912491
CR,12,178.67461566782669,0.0004589000018313527
CNN,12,323.90561241265544,0.0007165999850258231
CR,12,192.2000023396685,0.00046090001706033945
CNN,12,193.72993725247883,0.0010180000681430101
CR,12,180.4663501731542,0.0004599000094458461
CNN,12,180.47936945684458,0.0007817000150680542
CR,12,355.7407506704282,0.0004067999543622136
CNN,12,319.9319951809284,0.0008412000024691224
CR,12,355.437795675693,0.0004181000404059887
CNN,12,351.514800151011,0.0008853999897837639
CR,12,354.14698377431984,0.0004184000426903367
CNN,12,357.58185653571405,0.0008326000533998013
CR,12,355.437795675693,0.0004200999392196536
CNN,12,351.514800151011,0.0008928999304771423
CR,12,334.71559545909867,0.0004214000655338168
CNN,12,340.97368370454564,0.0008882000111043453
CR,12,271.65878386887164,0.0006923999171704054
CNN,12,298.16954920230023,0.0012495999690145254
CR,12,262.446054680018,0.0006951999384909868
CNN,12,262.769523882034,0.0011801999062299728
CR,12,297.1407292942599,0.0006967000663280487
