algorithm,number of nodes,k,weight,run time
CR,50,5,1516.891487455606,0.00845399999525398
CNN,50,5,1516.891487455606,0.010750099900178611
CR,50,5,1497.9171853697949,0.00840819999575615
CNN,50,5,1497.9171853697949,0.010757599957287312
CR,50,5,1596.1390879198213,0.011761500034481287
CNN,50,5,1596.1390879198213,0.014038600027561188
CR,50,5,1596.1390879198213,0.01170020003337413
CNN,50,5,1596.1390879198213,0.014016099972650409
CR,50,5,1681.2035517585828,0.011705499957315624
CNN,50,5,1681.2035517585828,0.013980599935166538
CR,50,5,1666.2316792900344,0.011661200085654855
CNN,50,5,1666.2316792900344,0.014052900020033121
CR,50,5,1681.2035517585832,0.011635300004854798
CNN,50,5,1681.2035517585832,0.014098800020292401
CR,50,5,2083.2290770054524,0.011914800037629902
CNN,50,5,2104.333676326327,0.01703550003003329
CR,50,5,1988.7243961395784,0.01190190005581826
CNN,50,5,2058.5325779191644,0.01673779997508973
CR,50,5,2076.6662563844698,0.012224999954923987
CNN,50,5,2153.0600524168,0.016899700043722987
CR,50,5,2043.7499494843896,0.012011900078505278
CNN,50,5,2051.5807973102424,0.01710370008368045
CR,50,5,2043.7499494843896,0.011960900039412081
CNN,50,5,2051.5807973102424,0.016820400021970272
CR,50,5,1795.5302046935115,0.01149569998960942
CNN,50,5,1809.0908810010558,0.016200599959120154
CR,50,5,1722.5390662748146,0.011388199985958636
CNN,50,5,1763.3367017330338,0.01619840005878359
CR,50,5,1725.1766991499878,0.011993999942205846
CNN,50,5,1730.1449932264122,0.01661340007558465
CR,50,5,1801.6836119555667,0.011574500007554889
CNN,50,5,1801.7614706129575,0.01595519995316863
CR,50,5,1698.1457185713991,0.011430200072936714
CNN,50,5,1719.8208392339125,0.01619949995074421
CR,50,5,2027.414154172223,0.015618900069966912
CNN,50,5,2045.1332798682865,0.020861800061538815
CR,50,5,1818.7225519566837,0.01563969999551773
CNN,50,5,1874.9031853167144,0.020873200031928718
CR,50,5,2045.119718270984,0.015433200052939355
CNN,50,5,2113.8865538820955,0.020603799959644675
CR,50,5,2082.928135705775,0.015621699974872172
CNN,50,5,2083.1362432294472,0.02085919992532581
CR,50,5,2107.924495520081,0.015524100046604872
CNN,50,5,2140.3307272782536,0.02051310008391738
CR,50,5,1556.8130956493055,0.007377799949608743
CNN,50,5,1556.8130956493055,0.009924700018018484
CR,50,5,1558.907580399213,0.007254800060763955
CNN,50,5,2958.7074578343545,0.009626599960029125
CR,50,5,1605.6574290944263,0.00728949997574091
CNN,50,5,1618.105671112742,0.011815899983048439
CR,50,5,1536.0047722345769,0.007770200027152896
CNN,50,5,1536.0047722345769,0.010296799940988421
CR,50,5,1532.2948611402817,0.00741089996881783
CNN,50,5,1532.2948611402817,0.009958600043319166
CR,50,5,1457.4098345602781,0.0059142999816685915
CNN,50,5,1457.4098345602781,0.008163500111550093
CR,50,5,1485.556012663534,0.005915699992328882
CNN,50,5,1485.556012663534,0.008398800040595233
CR,50,5,1488.812756770618,0.005912800086662173
CNN,50,5,1488.812756770618,0.008771699969656765
CR,50,5,1485.556012663534,0.0058321000542491674
CNN,50,5,1485.556012663534,0.008386799949221313
CR,50,5,1462.8961338142356,0.005754500045441091
CNN,50,5,1462.8961338142356,0.008174599963240325
CR,50,5,1656.1818414720763,0.0201791999861598
CNN,50,5,1656.1818414720763,0.022485600085929036
CR,50,5,1661.0497338410485,0.02020769997034222
CNN,50,5,1661.0497338410485,0.022748899995349348
CR,50,5,1642.0108348280532,0.020242800004780293
CNN,50,5,1642.0108348280532,0.022759699961170554
CR,50,5,1616.6829907511287,0.020365300006233156
CNN,50,5,1616.6829907511287,0.022884999983944
CR,50,5,1626.0191278406935,0.02024760004132986
CNN,50,5,1626.0191278406935,0.022958099958486855
CR,50,5,1760.4211015625306,0.00804830004926771
CNN,50,5,1771.8672861159237,0.01229549990966916
CR,50,5,1796.2535873626568,0.0076790000312030315
CNN,50,5,1876.9571529764428,0.012619199929758906
CR,50,5,1598.0046894180223,0.007698300061747432
CNN,50,5,1623.7452744112613,0.012405300047248602
CR,50,5,1616.8873363053242,0.007791800075210631
CNN,50,5,1619.4583223419904,0.012226699967868626
CR,50,5,1595.6211977197781,0.007666700053960085
CNN,50,5,1666.0560874989833,0.012225400074385107
CR,50,5,1731.5464700399914,0.014424499939195812
CNN,50,5,1735.3781253877737,0.018939699977636337
CR,50,5,1642.4541782859023,0.01443089998792857
CNN,50,5,1642.4541782859023,0.016747400048188865
CR,50,5,1642.4541782859023,0.014406299917027354
CNN,50,5,1642.4541782859023,0.017307500005699694
CR,50,5,1710.10375282069,0.014452400035224855
CNN,50,5,1710.1903679702496,0.018831399967893958
CR,50,5,1854.2941073882714,0.014383200090378523
CNN,50,5,1910.4089060900365,0.01940310001373291
CR,50,5,1326.738765834534,0.006698500015772879
CNN,50,5,1326.738765834534,0.008905099937692285
CR,50,5,1319.127514782826,0.00663159997202456
CNN,50,5,1319.127514782826,0.008909599971957505
CR,50,5,1316.7774585455372,0.00663159997202456
CNN,50,5,1316.7774585455372,0.008934000041335821
CR,50,5,1319.111507644721,0.006624600035138428
CNN,50,5,1319.111507644721,0.008952200063504279
CR,50,5,1326.7387658345338,0.006712600006721914
CNN,50,5,1326.7387658345338,0.009261599974706769
CR,50,5,1598.335323480035,0.01042009994853288
CNN,50,5,1598.335323480035,0.012751600006595254
CR,50,5,1511.5568994878554,0.010320000001229346
CNN,50,5,1511.5568994878554,0.012645800015889108
CR,50,5,1568.182049015963,0.010322100017219782
CNN,50,5,1568.182049015963,0.013212200021371245
CR,50,5,1569.707033723075,0.010450399946421385
CNN,50,5,1569.707033723075,0.012920500012114644
CR,50,5,1569.7070337230746,0.0102959000505507
CNN,50,5,1569.7070337230746,0.012822399963624775
CR,50,5,1676.2813346592675,0.012000399990938604
CNN,50,5,1676.2813346592675,0.014188400004059076
CR,50,5,1676.2813346592675,0.011709499987773597
CNN,50,5,1676.2813346592675,0.014037100016139448
CR,50,5,1677.4752294398206,0.011711500003002584
CNN,50,5,1677.4752294398206,0.014129500021226704
CR,50,5,1664.177242728391,0.011763300048187375
CNN,50,5,1664.177242728391,0.014207000029273331
CR,50,5,1664.177242728391,0.011690099956467748
CNN,50,5,1664.177242728391,0.01412290008738637
CR,50,5,1619.342269112809,0.014257999951951206
CNN,50,5,1619.342269112809,0.01652599999215454
CR,50,5,1634.9314316252435,0.014155799988657236
CNN,50,5,1634.9314316252435,0.017145600053481758
CR,50,5,1619.3422691128085,0.014430499984882772
CNN,50,5,1619.3422691128085,0.016604800010100007
CR,50,5,1645.1444694208615,0.014376300037838519
CNN,50,5,1645.1444694208615,0.016544500016607344
CR,50,5,1644.4917134550915,0.014238500036299229
CNN,50,5,1644.4917134550915,0.016674699960276484
CR,50,5,1646.191821137649,0.006690700072795153
CNN,50,5,1646.191821137649,0.00885560002643615
CR,50,5,1740.2658899220016,0.006580600049346685
CNN,50,5,1740.2658899220016,0.008789999992586672
CR,50,5,1681.2451406325608,0.006499399896711111
CNN,50,5,1681.2451406325608,0.008991200011223555
CR,50,5,1699.7146379497117,0.006588799995370209
CNN,50,5,1699.7146379497117,0.008763100020587444
CR,50,5,1679.4370851895585,0.006497700000181794
CNN,50,5,1679.4370851895585,0.008942799991928041
CR,50,10,1617.4432349727208,0.012526000034995377
CNN,50,10,1617.4432349727208,0.014639700064435601
CR,50,10,1617.4432349727208,0.012329399934969842
CNN,50,10,1617.4432349727208,0.01470499997958541
CR,50,10,1578.5337582313325,0.01235660002566874
CNN,50,10,1578.5337582313325,0.0151851000264287
CR,50,10,1570.4274043478958,0.012458999990485609
CNN,50,10,1570.4274043478958,0.014870499959215522
CR,50,10,1562.640755874655,0.012428599991835654
CNN,50,10,1562.640755874655,0.014751299982890487
CR,50,10,1662.3183426601686,0.013101099990308285
CNN,50,10,3163.6634645428576,0.01548140007071197
CR,50,10,1779.9891128827514,0.013097799965180457
CNN,50,10,1810.0790024342261,0.01779249997343868
CR,50,10,1852.739712164443,0.013169500045478344
CNN,50,10,1871.2708602142523,0.018138800049200654
CR,50,10,1616.3696877238053,0.013194099999964237
CNN,50,10,1632.5661383240777,0.017406699946150184
CR,50,10,1623.2736822300724,0.013132599997334182
CNN,50,10,1616.5802046933877,0.017449800041504204
CR,50,10,1583.4063044147765,0.010947300004772842
CNN,50,10,1583.4063044147765,0.013258700026199222
CR,50,10,1583.4063044147767,0.010754400049336255
CNN,50,10,1583.4063044147767,0.013150999904610217
CR,50,10,1760.621675477394,0.010865699965506792
CNN,50,10,1829.4290478332653,0.015511600067839026
CR,50,10,1766.1096189587154,0.01077430008444935
CNN,50,10,1847.632602157248,0.015323899919167161
CR,50,10,1661.0351883624255,0.010691100033000112
CNN,50,10,3174.107811876907,0.01323809998575598
CR,50,10,1858.2034095486838,0.01192130008712411
CNN,50,10,1877.5650463260786,0.016411299933679402
CR,50,10,1827.1320081055198,0.011900699930265546
